;Timestamp;ML;IR;Stat;DB;Gender;Chocolate;Stand up;Rand;Bedtime;Good day (1);Good day (2);Stress level;Program;Day;Month;Year;Neighbours;Money
216;4/1/2019 16:02:03;yes;1;mu;ja;male;neither;no;Pi;Today;No class;No work;9999999999999;CS;;;;400;10.0
217;4/1/2019 16:02:02;yes;1;mu;ja;male;neither;no;1;twelve;nothing to do;o;0;MBA;8.0;8.0;1995.0;5.0;0.21
218;4/1/2019 16:02:02;yes;1;mu;ja;male;fat;no;7;03:30;Head;Food;34;AI;13.0;1.0;;7.0;0.21
219;4/1/2019 16:02:02;yes;0;mu;nee;male;neither;no;2;23;It being productive;Having time to do everything;60;MATHS, STOCHASTICS, MASTER, UVA;28.0;11.0;;1.0;0.21
220;4/1/2019 16:02:02;no;0;mu;nee;male;slim;no;7;12;Get money;Food;30;QRM;28.0;4.0;1996.0;3.0;0.0
221;4/1/2019 16:02:03;yes;0;mu;ja;male;neither;unknown;42;2200;Board games;Beer;0;UVA: INFORMATION SYSTEMS - DATA SCIENCE;;;;2.0;60.0
222;4/1/2019 16:02:03;yes;1;mu;ja;female;I have no idea what you are talking about;no;3;01:00;Good food;Nice weather;50;AI;8.0;1.0;1997.0;2.0;100.0
223;4/1/2019 16:02:04;yes;1;mu;ja;male;fat;no;3736536379120;02:33;Nobody bothers me;Sun;10;UVA MASTER INFORMATION STUDIES, TRACK DATA SCIENCE;1.0;1.0;1971.0;4.0;2.0
224;4/1/2019 16:02:04;yes;1;mu;ja;male;fat;no;12;11;Beer;Sex;20;BA;4.0;4.0;1994.0;1.0;66.0
225;4/1/2019 16:02:04;no;0;mu;nee;male;slim;no;4;0:00;money;food;50;CS;9.0;4.0;1995.0;8.0;80.0
226;4/1/2019 16:02:04;yes;0;mu;ja;male;I have no idea what you are talking about;no;9;23:30;Football;Nice food;0;BA;31.0;10.0;1995.0;1.0;99.0
227;4/1/2019 16:02:04;no;0;unknown;nee;male;fat;no;313;0,5;Good relationships that day;Having learned something usefull;50;ECONOMETRICS;17.0;7.0;;4.0;10.0
228;4/1/2019 16:02:04;yes;0;mu;ja;male;I have no idea what you are talking about;no;9;4am;The number of tasks I was able to complete.;Had a meaningful conversation ;42;INFORMATION SCIENCES ;;;;8.0;0.0
229;4/1/2019 16:02:04;no;1;mu;nee;male;fat;no;8;20:45;The sun;Working out;23;ECONOMETRICS;1.0;10.0;1991.0;0.0;0.2
230;4/1/2019 16:02:05;no;1;mu;ja;male;slim;no;6;2:00;good weather;shuqi;3;CS;4.0;4.0;1995.0;2.0;100.0
231;4/1/2019 16:02:05;yes;1;mu;ja;male;neither;yes;3;02:30;Having no exam;Flipping tables;9000+;MULTIPLE PROGRAMMES;0.0;0.0;1900.0;5.0;inf
232;4/1/2019 16:02:05;no;1;mu;ja;female;neither;no;2;2;relax;good meal;50;CS;26.0;2.0;;2.0;1.0
233;4/1/2019 16:02:06;no;0;mu;nee;male;slim;no;7;0030;Sporten ;Thuis komen;0;FINANCE;24.0;4.0;1996.0;4.0;10.0
234;4/1/2019 16:02:06;no;0;mu;nee;female;I have no idea what you are talking about;no;7;02:00;Not sitting in a room with 400 students;No 9 am lectures;30;CS;30.0;11.0;1992.0;8.0;0.22
235;4/1/2019 16:02:06;no;0;sigma;nee;male;neither;no;9;1:00;Meeting up with nice people;Good weather;5;CLS;11.0;6.0;1993.0;1.0;1.0
236;4/1/2019 16:02:06;no;0;sigma;ja;male;unknown;no;7;12;Good weather ;Nothing to worry about ;99;BIOINFORMATICS;2.0;4.0;;8.0;10.0
237;4/1/2019 16:02:06;no;unknown;mu;nee;male;I have no idea what you are talking about;no;1;23;data bitches;blow;100;QRM;1.0;1.0;1993.0;2.0;1.0
238;4/1/2019 16:02:07;yes;0;mu;nee;female;neither;no;4;23:00 uur;Nice wheater;Hobby;20;BA;19.0;10.0;1995.0;2.0;0.25
239;4/1/2019 16:02:07;yes;1;mu;ja;male;I have no idea what you are talking about;no;7;1:30;No obligations;Games;75;ECONOMETRICS;21.0;8.0;1996.0;0.0;0.5
240;4/1/2019 16:02:07;yes;0;mu;ja;male;neither;no;8;23:45;Nice weather;No deadlines;60;BA;17.0;9.0;1996.0;2.0;30.0
241;4/1/2019 16:02:07;yes;0;sigma;ja;female;I have no idea what you are talking about;no;2;4;Relaxing;Family;90;BIOINFORMATICS;4.0;4.0;1994.0;10.0;50.0
242;4/1/2019 16:02:08;yes;1;mu;ja;male;fat;no;7;01:00;Day at the beach;The sun;15;UVA AI;11.0;4.0;1995.0;3.0;2.0
243;4/1/2019 16:02:09;yes;0;mu;nee;female;fat;no;4;23:15;Sun;Nice food;25;BA;13.0;11.0;1995.0;1.0;60.0
244;4/1/2019 16:02:09;yes;0;mu;ja;male;fat;no;6;23:15;It being the weekend;Good weather;20;INFORMATION STUDIES: DATA SCIENCE (UVA);30.0;7.0;;3.0;20.0
245;4/1/2019 16:02:08;yes;0;mu;nee;male;fat;no;1;23:00;No lecture;No deadlines in the near future;43;BA;21.0;5.0;1996.0;8.0;2.0
246;4/1/2019 16:02:11;no;0;mu;nee;male;fat;no;3,14150692;23:10;Zonnige dag;F1 race;67;FINANCIAL ECONOMETRIVS;;;;1.0;10.0
247;4/1/2019 16:02:12;yes;0;mu;nee;male;neither;no;5;3:30;Sunshine;Productivity;5;AI;19.0;10.0;1995.0;5.0;1.0
248;4/1/2019 16:02:11;no;0;sigma;nee;female;neither;no;9;2 am;favourite person;good sleep;55;RM HUMANITIES: LINGUISTICS;9.0;6.0;1989.0;2.0;17.0
249;4/1/2019 16:02:12;unknown;0;sigma;ja;male;I have no idea what you are talking about;no;491995;12;Warmth;. ;90;CLS;4.0;9.0;1995.0;2.0;1.0
250;4/1/2019 16:02:13;no;1;mu;nee;male;I have no idea what you are talking about;no;5;2 am;Good weather;Good grades;5;CS;10.0;8.0;;3.0;1.0
251;4/1/2019 16:02:14;yes;1;sigma;nee;male;neither;no;1;12 pm;Day off;Pasta;0;AI;12.0;1.0;1995.0;0.0;99.0
252;4/1/2019 16:02:14;no;1;unknown;ja;female;fat;no;5;4;no class;good weather;20;CS;10.0;5.0;;3.0;100.0
253;4/1/2019 16:02:15;yes;1;mu;ja;male;fat;no;5;01:30;Sunshine;Swimming;7;CS;4.0;7.0;1994.0;7.0;4.7
254;4/1/2019 16:02:15;no;1;mu;ja;male;I have no idea what you are talking about;no;7;1am;Sun;Food;100000000000;CS;;;;5.0;10.0
255;4/1/2019 16:02:16;no;1;mu;ja;male;neither;no;7;3,2;Sunny day of relaxation;Eating delicious food ;10;CS;21.0;9.0;;6.0;20.0
256;4/1/2019 16:02:16;yes;0;mu;nee;male;slim;no;7;1:45;No lecture;Time for sports;17;CS;17.0;7.0;1996.0;2.0;77.0
257;4/1/2019 16:02:16;yes;1;mu;ja;female;fat;no;9;it was actually today, 4am;good people;wine;10^3;CS;20.0;3.0;1996.0;2.0;10.0
258;4/1/2019 16:02:18;yes;0;mu;nee;male;fat;no;3;02:00;not Monday;yes;55;AI;4.0;4.0;704.0;3.0;40.0
259;4/1/2019 16:02:20;yes;1;mu;nee;unknown;fat;no;9,99999;01:30;Time for: reading/music/training;Being with a loved one;30;CS;27.0;3.0;1992.0;35.0;101.0
260;4/1/2019 16:02:21;yes;1;mu;ja;male;neither;no;8;02:00;Sun;Food;10;BIOINFORMATICS;4.0;4.0;1994.0;6.0;1.0
